controller,scenario,num_barrels,seed,pid,result
baseLocalPlanner,trashcans,7,34,3558,TIMED_OUT
eband,trashcans,3,35,3304,SUCCEEDED
teb,trashcans,3,35,3508,SUCCEEDED
dwa,trashcans,5,35,3354,SUCCEEDED
baseLocalPlanner,trashcans,3,35,3601,TIMED_OUT
custom_dwa,trashcans,5,35,3283,SUCCEEDED
eband,trashcans,5,35,3449,SUCCEEDED
teb,trashcans,5,35,3558,SUCCEEDED
dwa,trashcans,7,35,3508,SUCCEEDED
custom_dwa,trashcans,7,35,3354,SUCCEEDED
baseLocalPlanner,trashcans,5,35,3408,TIMED_OUT
dwa,trashcans,3,36,3558,SUCCEEDED
teb,trashcans,7,35,3283,SUCCEEDED
custom_dwa,trashcans,3,36,3508,SUCCEEDED
baseLocalPlanner,trashcans,7,35,3304,TIMED_OUT
eband,trashcans,7,35,3601,SUCCEEDED
teb,trashcans,3,36,3408,SUCCEEDED
eband,trashcans,3,36,3354,SUCCEEDED
dwa,trashcans,5,36,3283,SUCCEEDED
baseLocalPlanner,trashcans,3,36,3449,TIMED_OUT
dwa,trashcans,7,36,3354,BUMPER_COLLISION
eband,trashcans,5,36,3304,SUCCEEDED
custom_dwa,trashcans,5,36,3508,SUCCEEDED
custom_dwa,trashcans,7,36,3283,BUMPER_COLLISION
teb,trashcans,5,36,3601,SUCCEEDED
baseLocalPlanner,trashcans,5,36,3558,TIMED_OUT
eband,trashcans,7,36,3449,SUCCEEDED
dwa,trashcans,3,37,3508,SUCCEEDED
baseLocalPlanner,trashcans,7,36,3408,TIMED_OUT
teb,trashcans,7,36,3354,SUCCEEDED
custom_dwa,trashcans,3,37,3283,SUCCEEDED
eband,trashcans,3,37,3601,SUCCEEDED
teb,trashcans,3,37,3558,SUCCEEDED
dwa,trashcans,5,37,3508,SUCCEEDED
baseLocalPlanner,trashcans,3,37,3304,TIMED_OUT
custom_dwa,trashcans,5,37,3408,SUCCEEDED
teb,trashcans,5,37,3283,SUCCEEDED
eband,trashcans,5,37,3354,SUCCEEDED
dwa,trashcans,7,37,3558,SUCCEEDED
baseLocalPlanner,trashcans,5,37,3449,TIMED_OUT
custom_dwa,trashcans,7,37,3508,SUCCEEDED
baseLocalPlanner,trashcans,7,37,3601,TIMED_OUT
eband,trashcans,7,37,3304,SUCCEEDED
custom_dwa,trashcans,3,38,3558,SUCCEEDED
dwa,trashcans,3,38,3354,SUCCEEDED
teb,trashcans,7,37,3408,SUCCEEDED
baseLocalPlanner,trashcans,3,38,3283,TIMED_OUT
teb,trashcans,3,38,3508,SUCCEEDED
dwa,trashcans,5,38,3304,ABORTED
eband,trashcans,3,38,3449,SUCCEEDED
custom_dwa,trashcans,5,38,3558,SUCCEEDED
eband,trashcans,5,38,3354,SUCCEEDED
teb,trashcans,5,38,3408,SUCCEEDED
dwa,trashcans,7,38,3508,SUCCEEDED
baseLocalPlanner,trashcans,5,38,3601,TIMED_OUT
teb,trashcans,7,38,3558,SUCCEEDED
baseLocalPlanner,trashcans,3,39,3354,SUCCEEDED
dwa,trashcans,3,39,3408,SUCCEEDED
eband,trashcans,7,38,3449,SUCCEEDED
baseLocalPlanner,trashcans,7,38,3283,TIMED_OUT
custom_dwa,trashcans,7,38,3304,TIMED_OUT
custom_dwa,trashcans,3,39,3508,SUCCEEDED
eband,trashcans,3,39,3601,SUCCEEDED
teb,trashcans,3,39,3558,SUCCEEDED
dwa,trashcans,5,39,3408,SUCCEEDED
custom_dwa,trashcans,5,39,3449,SUCCEEDED
dwa,trashcans,7,39,3601,SUCCEEDED
eband,trashcans,5,39,3283,SUCCEEDED
teb,trashcans,5,39,3304,SUCCEEDED
custom_dwa,trashcans,7,39,3558,SUCCEEDED
baseLocalPlanner,trashcans,5,39,3354,TIMED_OUT
eband,trashcans,7,39,3408,SUCCEEDED
teb,trashcans,7,39,3449,SUCCEEDED
dwa,trashcans,3,40,3283,SUCCEEDED
custom_dwa,trashcans,3,40,3304,SUCCEEDED
baseLocalPlanner,trashcans,7,39,3508,TIMED_OUT
teb,trashcans,3,40,3354,SUCCEEDED
eband,trashcans,3,40,3558,SUCCEEDED
dwa,trashcans,5,40,3449,SUCCEEDED
custom_dwa,trashcans,5,40,3283,SUCCEEDED
baseLocalPlanner,trashcans,3,40,3601,SUCCEEDED
eband,trashcans,5,40,3304,SUCCEEDED
teb,trashcans,5,40,3508,SUCCEEDED
dwa,trashcans,7,40,3558,SUCCEEDED
custom_dwa,trashcans,7,40,3449,SUCCEEDED
baseLocalPlanner,trashcans,5,40,3408,TIMED_OUT
baseLocalPlanner,trashcans,3,41,3304,SUCCEEDED
teb,trashcans,7,40,3601,SUCCEEDED
dwa,trashcans,3,41,3508,SUCCEEDED
eband,trashcans,7,40,3283,SUCCEEDED
custom_dwa,trashcans,3,41,3558,SUCCEEDED
teb,trashcans,3,41,3408,SUCCEEDED
eband,trashcans,3,41,3449,SUCCEEDED
baseLocalPlanner,trashcans,7,40,3354,TIMED_OUT
dwa,trashcans,5,41,3601,SUCCEEDED
custom_dwa,trashcans,5,41,3508,SUCCEEDED
eband,trashcans,5,41,3283,SUCCEEDED
teb,trashcans,5,41,3558,SUCCEEDED
dwa,trashcans,7,41,3449,ABORTED
custom_dwa,trashcans,7,41,3354,SUCCEEDED
baseLocalPlanner,trashcans,5,41,3304,TIMED_OUT
teb,trashcans,7,41,3508,SUCCEEDED
dwa,trashcans,3,42,3558,SUCCEEDED
custom_dwa,trashcans,3,42,3449,SUCCEEDED
baseLocalPlanner,trashcans,7,41,3408,TIMED_OUT
eband,trashcans,7,41,3601,SUCCEEDED
teb,trashcans,3,42,3304,SUCCEEDED
eband,trashcans,3,42,3354,SUCCEEDED
dwa,trashcans,5,42,3558,SUCCEEDED
baseLocalPlanner,trashcans,3,42,3283,SUCCEEDED
custom_dwa,trashcans,5,42,3449,SUCCEEDED
eband,trashcans,5,42,3408,SUCCEEDED
teb,trashcans,5,42,3601,SUCCEEDED
dwa,trashcans,7,42,3354,SUCCEEDED
baseLocalPlanner,trashcans,5,42,3508,TIMED_OUT
custom_dwa,trashcans,7,42,3558,SUCCEEDED
eband,trashcans,7,42,3283,SUCCEEDED
dwa,trashcans,3,43,3601,SUCCEEDED
teb,trashcans,7,42,3449,SUCCEEDED
custom_dwa,trashcans,3,43,3354,SUCCEEDED
baseLocalPlanner,trashcans,7,42,3304,TIMED_OUT
teb,trashcans,3,43,3558,SUCCEEDED
eband,trashcans,3,43,3508,SUCCEEDED
dwa,trashcans,5,43,3601,SUCCEEDED
baseLocalPlanner,trashcans,3,43,3408,TIMED_OUT
custom_dwa,trashcans,5,43,3449,SUCCEEDED
eband,trashcans,5,43,3354,SUCCEEDED
teb,trashcans,5,43,3304,SUCCEEDED
baseLocalPlanner,trashcans,5,43,3283,TIMED_OUT
dwa,trashcans,7,43,3508,SUCCEEDED
custom_dwa,trashcans,7,43,3601,SUCCEEDED
dwa,trashcans,3,44,3304,SUCCEEDED
custom_dwa,trashcans,3,44,3283,SUCCEEDED
baseLocalPlanner,trashcans,7,43,3558,TIMED_OUT
eband,trashcans,3,44,3508,SUCCEEDED
teb,trashcans,7,43,3449,SUCCEEDED
eband,trashcans,7,43,3408,TIMED_OUT
teb,trashcans,3,44,3601,SUCCEEDED
dwa,trashcans,5,44,3283,SUCCEEDED
baseLocalPlanner,trashcans,3,44,3354,TIMED_OUT
custom_dwa,trashcans,5,44,3558,SUCCEEDED
dwa,trashcans,7,44,3601,SUCCEEDED
eband,trashcans,5,44,3508,SUCCEEDED
teb,trashcans,5,44,3449,SUCCEEDED
baseLocalPlanner,trashcans,5,44,3304,TIMED_OUT
custom_dwa,trashcans,7,44,3283,SUCCEEDED
eband,trashcans,7,44,3354,SUCCEEDED
teb,trashcans,7,44,3558,SUCCEEDED
dwa,trashcans,3,45,3508,SUCCEEDED
baseLocalPlanner,trashcans,7,44,3408,TIMED_OUT
custom_dwa,trashcans,3,45,3449,SUCCEEDED
eband,trashcans,3,45,3304,SUCCEEDED
teb,trashcans,3,45,3283,SUCCEEDED
dwa,trashcans,5,45,3558,SUCCEEDED
custom_dwa,trashcans,5,45,3508,SUCCEEDED
baseLocalPlanner,trashcans,3,45,3601,TIMED_OUT
teb,trashcans,5,45,3449,SUCCEEDED
eband,trashcans,5,45,3408,SUCCEEDED
dwa,trashcans,7,45,3283,SUCCEEDED
custom_dwa,trashcans,7,45,3558,SUCCEEDED
baseLocalPlanner,trashcans,5,45,3354,TIMED_OUT
dwa,trashcans,3,46,3408,SUCCEEDED
eband,trashcans,7,45,3508,SUCCEEDED
teb,trashcans,7,45,3601,SUCCEEDED
baseLocalPlanner,trashcans,7,45,3304,TIMED_OUT
custom_dwa,trashcans,3,46,3283,SUCCEEDED
teb,trashcans,3,46,3354,SUCCEEDED
baseLocalPlanner,trashcans,3,46,3449,TIMED_OUT
dwa,trashcans,5,46,3508,ABORTED
custom_dwa,trashcans,5,46,3601,SUCCEEDED
eband,trashcans,3,46,3558,TIMED_OUT
teb,trashcans,5,46,3283,SUCCEEDED
baseLocalPlanner,trashcans,5,46,3408,TIMED_OUT
dwa,trashcans,7,46,3449,SUCCEEDED
custom_dwa,trashcans,7,46,3508,SUCCEEDED
eband,trashcans,5,46,3304,SUCCEEDED
eband,trashcans,7,46,3601,SUCCEEDED
dwa,trashcans,3,47,3408,SUCCEEDED
baseLocalPlanner,trashcans,7,46,3354,TIMED_OUT
custom_dwa,trashcans,3,47,3449,SUCCEEDED
teb,trashcans,7,46,3558,SUCCEEDED
eband,trashcans,3,47,3508,SUCCEEDED
teb,trashcans,3,47,3304,SUCCEEDED
dwa,trashcans,5,47,3408,SUCCEEDED
custom_dwa,trashcans,5,47,3354,SUCCEEDED
baseLocalPlanner,trashcans,3,47,3283,TIMED_OUT
eband,trashcans,5,47,3449,SUCCEEDED
teb,trashcans,5,47,3558,SUCCEEDED
dwa,trashcans,7,47,3304,SUCCEEDED
custom_dwa,trashcans,7,47,3408,SUCCEEDED
baseLocalPlanner,trashcans,5,47,3601,TIMED_OUT
dwa,trashcans,3,48,3558,SUCCEEDED
eband,trashcans,7,47,3354,SUCCEEDED
teb,trashcans,7,47,3283,SUCCEEDED
custom_dwa,trashcans,3,48,3304,SUCCEEDED
baseLocalPlanner,trashcans,7,47,3508,TIMED_OUT
eband,trashcans,3,48,3408,SUCCEEDED
dwa,trashcans,5,48,3354,SUCCEEDED
teb,trashcans,3,48,3601,SUCCEEDED
custom_dwa,trashcans,5,48,3283,SUCCEEDED
baseLocalPlanner,trashcans,3,48,3449,TIMED_OUT
eband,trashcans,5,48,3304,SUCCEEDED
teb,trashcans,5,48,3508,SUCCEEDED
dwa,trashcans,7,48,3354,SUCCEEDED
baseLocalPlanner,trashcans,5,48,3558,TIMED_OUT
custom_dwa,trashcans,7,48,3601,SUCCEEDED
eband,trashcans,7,48,3283,SUCCEEDED
dwa,trashcans,3,49,3508,SUCCEEDED
teb,trashcans,7,48,3449,SUCCEEDED
baseLocalPlanner,trashcans,7,48,3408,TIMED_OUT
custom_dwa,trashcans,3,49,3354,SUCCEEDED
teb,trashcans,3,49,3601,SUCCEEDED
eband,trashcans,3,49,3558,SUCCEEDED
dwa,trashcans,5,49,3508,SUCCEEDED
baseLocalPlanner,trashcans,3,49,3304,TIMED_OUT
custom_dwa,trashcans,5,49,3449,SUCCEEDED
eband,trashcans,5,49,3408,SUCCEEDED
teb,trashcans,5,49,3354,SUCCEEDED
dwa,trashcans,7,49,3558,SUCCEEDED
baseLocalPlanner,trashcans,5,49,3283,TIMED_OUT
custom_dwa,trashcans,7,49,3508,SUCCEEDED
eband,trashcans,7,49,3304,SUCCEEDED
teb,trashcans,7,49,3449,SUCCEEDED
baseLocalPlanner,trashcans,7,49,3601,TIMED_OUT
